Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
346	0.303468	366	0.065574	34	0.382353	254	0.295276	11.993559	170	0.347059	1.335708	176	0.261364	43.215229	254	0.295276	0.217000	0.243221	
381	0.328084	322	0.062112	25	0.600000	272	0.345588	11.993559	186	0.306452	1.335708	195	0.348718	43.215229	272	0.345588	0.254000	0.243309	
319	0.376176	353	0.053824	41	0.414634	287	0.222997	11.993559	155	0.380645	1.335708	164	0.371951	43.215229	287	0.222997	0.220000	0.243120	
309	0.362460	368	0.062500	37	0.621622	286	0.335664	11.993559	171	0.350877	1.335708	138	0.376812	43.215229	286	0.335664	0.254000	0.243208	
371	0.331536	325	0.070769	28	0.642857	276	0.326087	11.993559	193	0.274611	1.335708	178	0.393258	43.215229	276	0.326087	0.254000	0.243294	
352	0.338068	340	0.064706	39	0.512821	269	0.289963	11.993559	182	0.269231	1.335708	170	0.411765	43.215229	269	0.289963	0.239000	0.243260	
364	0.318681	327	0.042813	37	0.486486	272	0.308824	11.993559	161	0.267081	1.569431	203	0.359606	43.215229	272	0.308824	0.232000	0.243171	
342	0.286550	346	0.086705	38	0.657895	274	0.313869	11.993559	178	0.308989	1.569431	164	0.262195	43.215229	274	0.313869	0.239000	0.243139	
319	0.319749	347	0.023055	33	0.666667	301	0.289037	11.993559	169	0.366864	1.569431	150	0.266667	43.215229	301	0.289037	0.219000	0.242952	
338	0.278107	338	0.047337	41	0.439024	283	0.356890	11.993559	165	0.236364	1.569431	173	0.317919	43.215229	283	0.356890	0.229000	0.242844	
321	0.277259	356	0.042135	43	0.581395	280	0.328571	11.993559	158	0.278481	1.569431	163	0.276074	43.215229	280	0.328571	0.221000	0.242678	
338	0.245562	333	0.066066	42	0.523810	287	0.317073	11.993559	160	0.256250	1.569431	178	0.235955	43.215229	287	0.317073	0.218000	0.242491	
365	0.276712	334	0.053892	34	0.647059	267	0.295880	11.993559	186	0.252688	1.569431	179	0.301676	43.215229	267	0.295880	0.220000	0.242321	
340	0.338235	352	0.068182	32	0.656250	276	0.282609	11.993559	177	0.350282	1.569431	163	0.325153	43.215229	276	0.282609	0.238000	0.242289	
