Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
363	0.242424	350	0.071429	34	0.352941	253	0.332016	12.640548	187	0.208556	1.493177	176	0.278409	42.495927	253	0.332016	0.209000	0.241460	
377	0.278515	348	0.071839	17	0.470588	258	0.364341	12.640548	191	0.235602	1.493177	186	0.322581	42.495927	258	0.364341	0.232000	0.241389	
345	0.315942	324	0.058642	40	0.600000	291	0.257732	12.640548	164	0.323171	1.493177	181	0.309392	42.495927	291	0.257732	0.227000	0.241282	
349	0.246418	356	0.056180	25	0.400000	270	0.344444	12.640548	176	0.255682	1.493177	173	0.236994	42.495927	270	0.344444	0.209000	0.241043	
357	0.263305	338	0.068047	43	0.372093	262	0.316794	12.640548	174	0.241379	1.493177	183	0.284153	42.495927	262	0.316794	0.216000	0.240859	
374	0.278075	335	0.050746	23	0.521739	268	0.380597	12.640548	197	0.269036	1.493177	177	0.288136	42.495927	268	0.380597	0.235000	0.240816	
381	0.333333	303	0.036304	40	0.500000	276	0.336957	12.640548	195	0.333333	1.493177	186	0.333333	42.495927	276	0.336957	0.251000	0.240890	
363	0.289256	316	0.037975	30	0.566667	291	0.329897	12.640548	180	0.233333	1.493177	183	0.344262	42.495927	291	0.329897	0.230000	0.240811	
369	0.276423	322	0.052795	35	0.571429	274	0.299270	12.640548	203	0.241379	1.493177	166	0.319277	42.495927	274	0.299270	0.221000	0.240670	
324	0.320988	346	0.066474	31	0.548387	299	0.314381	12.640548	170	0.294118	1.493177	154	0.350649	42.495927	299	0.314381	0.238000	0.240651	
366	0.259563	326	0.046012	48	0.625000	260	0.338462	12.640548	190	0.273684	1.493177	176	0.244318	42.495927	260	0.338462	0.228000	0.240562	
368	0.277174	343	0.075802	40	0.450000	249	0.301205	12.640548	188	0.234043	1.493177	180	0.322222	42.495927	249	0.301205	0.221000	0.240425	
343	0.230321	340	0.082353	41	0.414634	276	0.329710	12.640548	161	0.217391	1.493177	182	0.241758	42.495927	276	0.329710	0.215000	0.240248	
326	0.230061	354	0.056497	31	0.580645	289	0.346021	12.640548	164	0.219512	1.493177	162	0.240741	42.495927	289	0.346021	0.213000	0.240060	
351	0.301994	330	0.042424	28	0.357143	291	0.240550	12.640548	162	0.333333	1.493177	189	0.275132	42.495927	291	0.240550	0.200000	0.239786	
332	0.325301	363	0.060606	53	0.679245	252	0.242063	12.640548	164	0.329268	1.493177	168	0.321429	42.495927	252	0.242063	0.227000	0.239699	
320	0.368750	362	0.066298	41	0.609756	277	0.332130	12.640548	148	0.331081	1.493177	172	0.401163	42.495927	277	0.332130	0.259000	0.239829	
352	0.269886	362	0.058011	42	0.500000	244	0.344262	12.640548	180	0.205556	1.513540	172	0.337209	42.495927	244	0.344262	0.221000	0.239703	
331	0.371601	356	0.022472	41	0.414634	272	0.345588	12.640548	162	0.339506	1.513540	169	0.402367	42.495927	272	0.345588	0.242000	0.239718	
338	0.292899	374	0.069519	28	0.428571	260	0.350000	12.640548	174	0.298851	2.625445	164	0.286585	42.495927	260	0.350000	0.228000	0.239641	
344	0.235465	328	0.073171	35	0.600000	293	0.279863	12.640548	195	0.271795	2.625445	149	0.187919	42.495927	293	0.279863	0.208000	0.239433	
315	0.288889	349	0.028653	42	0.547619	294	0.251701	12.640548	164	0.335366	1.492449	151	0.238411	42.495927	294	0.251701	0.198000	0.239162	
372	0.279570	345	0.052174	46	0.456522	237	0.291139	12.640548	178	0.269663	1.492449	194	0.288660	42.495927	237	0.291139	0.212000	0.238985	
334	0.284431	343	0.029155	30	0.366667	293	0.266212	12.640548	168	0.267857	1.492449	166	0.301205	42.495927	293	0.266212	0.194000	0.238695	
350	0.285714	318	0.062893	43	0.255814	289	0.287197	12.640548	160	0.262500	1.492449	190	0.305263	42.495927	289	0.287197	0.214000	0.238537	
343	0.291545	347	0.060519	37	0.621622	273	0.322344	12.640548	166	0.289157	1.492449	177	0.293785	42.495927	273	0.322344	0.232000	0.238495	
347	0.314121	341	0.061584	36	0.500000	276	0.250000	12.640548	177	0.276836	1.492449	170	0.352941	42.495927	276	0.250000	0.217000	0.238359	
344	0.267442	357	0.053221	25	0.560000	274	0.270073	12.640548	151	0.251656	1.492449	193	0.279793	42.495927	274	0.270073	0.199000	0.238112	
